query_id,category,question,candidate_order,chunk_id,source_path,section_title,content,adjudicator,adjudicated_relevance,adjudication_notes
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,6,advanced/additional-responses-1,advanced/additional-responses.md,Additional Response with `model` { #additional-response-with-model },"## Additional Response with `model` { #additional-response-with-model }

You can pass to your *path operation decorators* a parameter `responses`.

It receives a `dict`: the keys are status codes for each response (like `200`), and the values are other `dict`s with the information for each of them.

Each of those response `dict`s can have a key `model`, containing a Pydantic model, just like `response_model`.

**FastAPI** will take that model, generate its JSON Schema and include it in the correct place in OpenAPI.

For example, to declare another response with a status code `404` and a Pydantic model `Message`, you can write:

{* ../../docs_src/additional_responses/tutorial001_py310.py hl[18,22] *}

/// note

Keep in mind that you have to return the `JSONResponse` directly.

///

/// note

The `model` key is not part of OpenAPI.

**FastAPI** will take the Pydantic model from there, generate the JSON Schema, and put it in the correct place.

The correct place is:",yann,0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,10,advanced/response-directly-3,advanced/response-directly.md,Returning a custom `Response` { #returning-a-custom-response },"## Returning a custom `Response` { #returning-a-custom-response }

The example above shows all the parts you need, but it's not very useful yet, as you could have just returned the `item` directly, and **FastAPI** would put it in a `JSONResponse` for you, converting it to a `dict`, etc. All that by default.

Now, let's see how you could use that to return a custom response.

Let's say that you want to return an [XML](https://en.wikipedia.org/wiki/XML) response.

You could put your XML content in a string, put that in a `Response`, and return it:

{* ../../docs_src/response_directly/tutorial002_py310.py hl[1,18] *}",yann,0,
q05,tutorial,How should I handle errors and raise HTTP exceptions in FastAPI?,17,advanced/websockets-9,advanced/websockets.md,Handling disconnections and multiple clients { #handling-disconnections-and-multiple-clients },"## Handling disconnections and multiple clients { #handling-disconnections-and-multiple-clients }

When a WebSocket connection is closed, the `await websocket.receive_text()` will raise a `WebSocketDisconnect` exception, which you can then catch and handle like in this example.

{* ../../docs_src/websockets_/tutorial003_py310.py hl[79:81] *}

To try it out:

* Open the app with several browser tabs.
* Write messages from them.
* Then close one of the tabs.

That will raise the `WebSocketDisconnect` exception, and all the other clients will receive a message like:

```
Client #1596980209979 left the chat
```

/// tip

The app above is a minimal and simple example to demonstrate how to handle and broadcast messages to several WebSocket connections.

But keep in mind that, as everything is handled in memory, in a single list, it will only work while the process is running, and will only work with a single process.

If you need something easy to integrate with FastAPI but that is more robust, supported by Redis, PostgreSQL or others, check [encode/broadcaster](https://github.com/encode/broadcaster).

///",yann,0,
q05,tutorial,How should I handle errors and raise HTTP exceptions in FastAPI?,25,advanced/websockets-7,advanced/websockets.md,Using `Depends` and others { #using-depends-and-others },"## Using `Depends` and others { #using-depends-and-others }

In WebSocket endpoints you can import from `fastapi` and use:

* `Depends`
* `Security`
* `Cookie`
* `Header`
* `Path`
* `Query`

They work the same way as for other FastAPI endpoints/*path operations*:

{* ../../docs_src/websockets_/tutorial002_an_py310.py hl[68:69,82] *}

/// note

As this is a WebSocket it doesn't really make sense to raise an `HTTPException`, instead we raise a `WebSocketException`.

You can use a closing code from the [valid codes defined in the specification](https://tools.ietf.org/html/rfc6455#section-7.4.1).

///",yann,0,
q06,dependencies,How do I declare a reusable dependency with Depends in FastAPI?,15,tutorial/security/get-current-user-2,tutorial/security/get-current-user.md,Create a `get_current_user` dependency { #create-a-get-current-user-dependency },"## Create a `get_current_user` dependency { #create-a-get-current-user-dependency }

Let's create a dependency `get_current_user`.

Remember that dependencies can have sub-dependencies?

`get_current_user` will have a dependency with the same `oauth2_scheme` we created before.

The same as we were doing before in the *path operation* directly, our new dependency `get_current_user` will receive a `token` as a `str` from the sub-dependency `oauth2_scheme`:

{* ../../docs_src/security/tutorial002_an_py310.py hl[25] *}",yann,1,
q06,dependencies,How do I declare a reusable dependency with Depends in FastAPI?,29,advanced/settings-8,advanced/settings.md,Settings in a dependency { #settings-in-a-dependency },"## Settings in a dependency { #settings-in-a-dependency }

In some occasions it might be useful to provide the settings from a dependency, instead of having a global object with `settings` that is used everywhere.

This could be especially useful during testing, as it's very easy to override a dependency with your own custom settings.",yann,0,
q07,dependencies,How can one FastAPI dependency depend on another dependency?,1,tutorial/dependencies/index-0,tutorial/dependencies/index.md,Dependencies { #dependencies },"# Dependencies { #dependencies }

**FastAPI** has a very powerful but intuitive **<dfn title=""also known as components, resources, providers, services, injectables"">Dependency Injection</dfn>** system.

It is designed to be very simple to use, and to make it very easy for any developer to integrate other components with **FastAPI**.",yann,0,
q07,dependencies,How can one FastAPI dependency depend on another dependency?,3,advanced/testing-dependencies-3,advanced/testing-dependencies.md,Use the `app.dependency_overrides` attribute { #use-the-app-dependency-overrides-attribute },"### Use the `app.dependency_overrides` attribute { #use-the-app-dependency-overrides-attribute }

For these cases, your **FastAPI** application has an attribute `app.dependency_overrides`, it is a simple `dict`.

To override a dependency for testing, you put as a key the original dependency (a function), and as the value, your dependency override (another function).

And then **FastAPI** will call that override instead of the original dependency.

{* ../../docs_src/dependency_testing/tutorial001_an_py310.py hl[26:27,30] *}

/// tip

You can set a dependency override for a dependency used anywhere in your **FastAPI** application.

The original dependency could be used in a *path operation function*, a *path operation decorator* (when you don't use the return value), a `.include_router()` call, etc.

FastAPI will still be able to override it.

///

Then you can reset your overrides (remove them) by setting `app.dependency_overrides` to be an empty `dict`:

```Python
app.dependency_overrides = {}
```

/// tip

If you want to override a dependency only during some tests, you can set the override at the beginning of the test (inside the test function) and reset it at the end (at the end of the test function).

///",yann,0,
q07,dependencies,How can one FastAPI dependency depend on another dependency?,4,tutorial/background-tasks-4,tutorial/background-tasks.md,Dependency Injection { #dependency-injection },"## Dependency Injection { #dependency-injection }

Using `BackgroundTasks` also works with the dependency injection system, you can declare a parameter of type `BackgroundTasks` at multiple levels: in a *path operation function*, in a dependency (dependable), in a sub-dependency, etc.

**FastAPI** knows what to do in each case and how to reuse the same object, so that all the background tasks are merged together and are run in the background afterwards:


{* ../../docs_src/background_tasks/tutorial002_an_py310.py hl[13,15,22,25] *}


In this example, the messages will be written to the `log.txt` file *after* the response is sent.

If there was a query in the request, it will be written to the log in a background task.

And then another background task generated at the *path operation function* will write a message using the `email` path parameter.",yann,1,
q07,dependencies,How can one FastAPI dependency depend on another dependency?,7,tutorial/dependencies/classes-as-dependencies-2,tutorial/dependencies/classes-as-dependencies.md,What makes a dependency { #what-makes-a-dependency },"## What makes a dependency { #what-makes-a-dependency }

Up to now you have seen dependencies declared as functions.

But that's not the only way to declare dependencies (although it would probably be the more common).

The key factor is that a dependency should be a ""callable"".

A ""**callable**"" in Python is anything that Python can ""call"" like a function.

So, if you have an object `something` (that might _not_ be a function) and you can ""call"" it (execute it) like:

```Python
something()
```

or

```Python
something(some_argument, some_keyword_argument=""foo"")
```

then it is a ""callable"".",yann,0,
q07,dependencies,How can one FastAPI dependency depend on another dependency?,9,tutorial/dependencies/sub-dependencies-4,tutorial/dependencies/sub-dependencies.md,Using the same dependency multiple times { #using-the-same-dependency-multiple-times },"## Using the same dependency multiple times { #using-the-same-dependency-multiple-times }

If one of your dependencies is declared multiple times for the same *path operation*, for example, multiple dependencies have a common sub-dependency, **FastAPI** will know to call that sub-dependency only once per request.

And it will save the returned value in a <dfn title=""A utility/system to store computed/generated values, to reuse them instead of computing them again."">""cache""</dfn> and pass it to all the ""dependants"" that need it in that specific request, instead of calling the dependency multiple times for the same request.

In an advanced scenario where you know you need the dependency to be called at every step (possibly multiple times) in the same request instead of using the ""cached"" value, you can set the parameter `use_cache=False` when using `Depends`:

//// tab | Python 3.10+

```Python hl_lines=""1""
async def needy_dependency(fresh_value: Annotated[str, Depends(get_value, use_cache=False)]):
    return {""fresh_value"": fresh_value}
```

////

//// tab | Python 3.10+ non-Annotated

/// tip

Prefer to use the `Annotated` version if possible.

///

```Python hl_lines=""1""
async def needy_dependency(fresh_value: str = Depends(get_value, use_cache=False)):
    return {""fresh_value"": fresh_value}
```

////",yann,1,
q07,dependencies,How can one FastAPI dependency depend on another dependency?,13,tutorial/security/get-current-user-2,tutorial/security/get-current-user.md,Create a `get_current_user` dependency { #create-a-get-current-user-dependency },"## Create a `get_current_user` dependency { #create-a-get-current-user-dependency }

Let's create a dependency `get_current_user`.

Remember that dependencies can have sub-dependencies?

`get_current_user` will have a dependency with the same `oauth2_scheme` we created before.

The same as we were doing before in the *path operation* directly, our new dependency `get_current_user` will receive a `token` as a `str` from the sub-dependency `oauth2_scheme`:

{* ../../docs_src/security/tutorial002_an_py310.py hl[25] *}",yann,1,
q07,dependencies,How can one FastAPI dependency depend on another dependency?,22,tutorial/dependencies/classes-as-dependencies-3,tutorial/dependencies/classes-as-dependencies.md,Classes as dependencies { #classes-as-dependencies_1 },"## Classes as dependencies { #classes-as-dependencies_1 }

You might notice that to create an instance of a Python class, you use that same syntax.

For example:

```Python
class Cat:
    def __init__(self, name: str):
        self.name = name
fluffy = Cat(name=""Mr Fluffy"")
```

In this case, `fluffy` is an instance of the class `Cat`.

And to create `fluffy`, you are ""calling"" `Cat`.

So, a Python class is also a **callable**.

Then, in **FastAPI**, you could use a Python class as a dependency.

What FastAPI actually checks is that it is a ""callable"" (function, class or anything else) and the parameters defined.

If you pass a ""callable"" as a dependency in **FastAPI**, it will analyze the parameters for that ""callable"", and process them in the same way as the parameters for a *path operation function*. Including sub-dependencies.

That also applies to callables with no parameters at all. The same as it would be for *path operation functions* with no parameters.

Then, we can change the dependency ""dependable"" `common_parameters` from above to the class `CommonQueryParams`:

{* ../../docs_src/dependencies/tutorial002_an_py310.py hl[11:15] *}

Pay attention to the `__init__` method used to create the instance of the class:

{* ../../docs_src/dependencies/tutorial002_an_py310.py hl[12] *}",yann,1,
