query_id,category,question,candidate_order,chunk_id,source_path,section_title,content,relevance,annotation_notes
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,1,advanced/additional-responses-6,advanced/additional-responses.md,Combining information { #combining-information },"## Combining information { #combining-information }

You can also combine response information from multiple places, including the `response_model`, `status_code`, and `responses` parameters.

You can declare a `response_model`, using the default status code `200` (or a custom one if you need), and then declare additional information for that same response in `responses`, directly in the OpenAPI schema.

**FastAPI** will keep the additional information from `responses`, and combine it with the JSON Schema from your model.

For example, you can declare a response with a status code `404` that uses a Pydantic model and has a custom `description`.

And a response with a status code `200` that uses your `response_model`, but includes a custom `example`:

{* ../../docs_src/additional_responses/tutorial003_py310.py hl[20:31] *}

It will all be combined and included in your OpenAPI, and shown in the API docs:

<img src=""/img/tutorial/additional-responses/image01.png"">",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,2,advanced/response-change-status-code-2,advanced/response-change-status-code.md,Use a `Response` parameter { #use-a-response-parameter },"## Use a `Response` parameter { #use-a-response-parameter }

You can declare a parameter of type `Response` in your *path operation function* (as you can do for cookies and headers).

And then you can set the `status_code` in that *temporary* response object.

{* ../../docs_src/response_change_status_code/tutorial001_py310.py hl[1,9,12] *}

And then you can return any object you need, as you normally would (a `dict`, a database model, etc).

And if you declared a `response_model`, it will still be used to filter and convert the object you returned.

**FastAPI** will use that *temporary* response to extract the status code (also cookies and headers), and will put them in the final response that contains the value you returned, filtered by any `response_model`.

You can also declare the `Response` parameter in dependencies, and set the status code in them. But keep in mind that the last one to be set will win.",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,3,tutorial/response-status-code-1,tutorial/response-status-code.md,About HTTP status codes { #about-http-status-codes },"## About HTTP status codes { #about-http-status-codes }

/// note

If you already know what HTTP status codes are, skip to the next section.

///

In HTTP, you send a numeric status code of 3 digits as part of the response.

These status codes have an associated name to help recognize them, but the important part is the number.

In short:

* `100 - 199` are for ""Information"". You rarely use them directly.  Responses with these status codes cannot have a body.
* **`200 - 299`** are for ""Successful"" responses. These are the ones you would use the most.
    * `200` is the default status code, which means everything was ""OK"".
    * Another example would be `201`, ""Created"". It is commonly used after creating a new record in the database.
    * A special case is `204`, ""No Content"".  This response is used when there is no content to return to the client, and so the response must not have a body.
* **`300 - 399`** are for ""Redirection"".  Responses with these status codes may or may not have a body, except for `304`, ""Not Modified"", which must not have one.
* **`400 - 499`** are for ""Client error"" responses. These are the second type you would probably use the most.
    * An example is `404`, for a ""Not Found"" response.
    * For generic errors from the client, you can just use `400`.
* `500 - 599` are for server errors. You almost never use them directly. When something goes wrong at some part in your application code, or server, it will automatically return one of these status codes.

/// tip",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,4,tutorial/handling-errors-9,tutorial/handling-errors.md,Override the `HTTPException` error handler { #override-the-httpexception-error-handler },"### Override the `HTTPException` error handler { #override-the-httpexception-error-handler }

The same way, you can override the `HTTPException` handler.

For example, you could want to return a plain text response instead of JSON for these errors:

{* ../../docs_src/handling_errors/tutorial004_py310.py hl[3:4,9:11,25] *}

/// note | Technical Details

You could also use `from starlette.responses import PlainTextResponse`.

**FastAPI** provides the same `starlette.responses` as `fastapi.responses` just as a convenience for you, the developer. But most of the available responses come directly from Starlette.

///

/// warning

Have in mind that the `RequestValidationError` contains the information of the file name and line where the validation error happens so that you can show it in your logs with the relevant information if you want to.

But that means that if you just convert it to a string and return that information directly, you could be leaking a bit of information about your system, that's why here the code extracts and shows each error independently.

///",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,5,advanced/custom-response-8,advanced/custom-response.md,`Response` { #response },"### `Response` { #response }

The main `Response` class, all the other responses inherit from it.

You can return it directly.

It accepts the following parameters:

* `content` - A `str` or `bytes`.
* `status_code` - An `int` HTTP status code.
* `headers` - A `dict` of strings.
* `media_type` - A `str` giving the media type. E.g. `""text/html""`.

FastAPI (actually Starlette) will automatically include a Content-Length header. It will also include a Content-Type header, based on the `media_type` and appending a charset for text types.

{* ../../docs_src/response_directly/tutorial002_py310.py hl[1,18] *}",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,6,advanced/additional-responses-1,advanced/additional-responses.md,Additional Response with `model` { #additional-response-with-model },"## Additional Response with `model` { #additional-response-with-model }

You can pass to your *path operation decorators* a parameter `responses`.

It receives a `dict`: the keys are status codes for each response (like `200`), and the values are other `dict`s with the information for each of them.

Each of those response `dict`s can have a key `model`, containing a Pydantic model, just like `response_model`.

**FastAPI** will take that model, generate its JSON Schema and include it in the correct place in OpenAPI.

For example, to declare another response with a status code `404` and a Pydantic model `Message`, you can write:

{* ../../docs_src/additional_responses/tutorial001_py310.py hl[18,22] *}

/// note

Keep in mind that you have to return the `JSONResponse` directly.

///

/// note

The `model` key is not part of OpenAPI.

**FastAPI** will take the Pydantic model from there, generate the JSON Schema, and put it in the correct place.

The correct place is:",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,7,how-to/authentication-error-status-code-0,how-to/authentication-error-status-code.md,Use Old 403 Authentication Error Status Codes { #use-old-403-authentication-error-status-codes },"# Use Old 403 Authentication Error Status Codes { #use-old-403-authentication-error-status-codes }

Before FastAPI version `0.122.0`, when the integrated security utilities returned an error to the client after a failed authentication, they used the HTTP status code `403 Forbidden`.

Starting with FastAPI version `0.122.0`, they use the more appropriate HTTP status code `401 Unauthorized`, and return a sensible `WWW-Authenticate` header in the response, following the HTTP specifications, [RFC 7235](https://datatracker.ietf.org/doc/html/rfc7235#section-3.1), [RFC 9110](https://datatracker.ietf.org/doc/html/rfc9110#name-401-unauthorized).

But if for some reason your clients depend on the old behavior, you can revert to it by overriding the method `make_not_authenticated_error` in your security classes.

For example, you can create a subclass of `HTTPBearer` that returns a `403 Forbidden` error instead of the default `401 Unauthorized` error:

{* ../../docs_src/authentication_error_status_code/tutorial001_an_py310.py hl[9:13] *}

/// tip

Notice that the function returns the exception instance, it doesn't raise it. The raising is done in the rest of the internal code.

///",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,8,advanced/additional-status-codes-1,advanced/additional-status-codes.md,Additional status codes { #additional-status-codes_1 },"## Additional status codes { #additional-status-codes_1 }

If you want to return additional status codes apart from the main one, you can do that by returning a `Response` directly, like a `JSONResponse`, and set the additional status code directly.

For example, let's say that you want to have a *path operation* that allows updating items, and returns HTTP status codes of 200 ""OK"" when successful.

But you also want it to accept new items. And when the items didn't exist before, it creates them, and returns an HTTP status code of 201 ""Created"".

To achieve that, import `JSONResponse`, and return your content there directly, setting the `status_code` that you want:

{* ../../docs_src/additional_status_codes/tutorial001_an_py310.py hl[4,25] *}

/// warning

When you return a `Response` directly, like in the example above, it will be returned directly.

It won't be serialized with a model, etc.

Make sure it has the data you want it to have, and that the values are valid JSON (if you are using `JSONResponse`).

///

/// note | Technical Details

You could also use `from starlette.responses import JSONResponse`.

**FastAPI** provides the same `starlette.responses` as `fastapi.responses` just as a convenience for you, the developer. But most of the available responses come directly from Starlette. The same with `status`.

///",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,9,advanced/additional-status-codes-0,advanced/additional-status-codes.md,Additional Status Codes { #additional-status-codes },"# Additional Status Codes { #additional-status-codes }

By default, **FastAPI** will return the responses using a `JSONResponse`, putting the content you return from your *path operation* inside of that `JSONResponse`.

It will use the default status code or the one you set in your *path operation*.",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,10,advanced/response-directly-3,advanced/response-directly.md,Returning a custom `Response` { #returning-a-custom-response },"## Returning a custom `Response` { #returning-a-custom-response }

The example above shows all the parts you need, but it's not very useful yet, as you could have just returned the `item` directly, and **FastAPI** would put it in a `JSONResponse` for you, converting it to a `dict`, etc. All that by default.

Now, let's see how you could use that to return a custom response.

Let's say that you want to return an [XML](https://en.wikipedia.org/wiki/XML) response.

You could put your XML content in a string, put that in a `Response`, and return it:

{* ../../docs_src/response_directly/tutorial002_py310.py hl[1,18] *}",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,11,tutorial/path-operation-configuration-1,tutorial/path-operation-configuration.md,Response Status Code { #response-status-code },"## Response Status Code { #response-status-code }

You can define the (HTTP) `status_code` to be used in the response of your *path operation*.

You can pass directly the `int` code, like `404`.

But if you don't remember what each number code is for, you can use the shortcut constants in `status`:

{* ../../docs_src/path_operation_configuration/tutorial001_py310.py hl[1,15] *}

That status code will be used in the response and will be added to the OpenAPI schema.

/// note | Technical Details

You could also use `from starlette import status`.

**FastAPI** provides the same `starlette.status` as `fastapi.status` just as a convenience for you, the developer. But it comes directly from Starlette.

///",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,12,reference/response-0,reference/response.md,`Response` class,"# `Response` class

You can declare a parameter in a *path operation function* or dependency to be of type `Response` and then you can set data for the response like headers or cookies.

You can also use it directly to create an instance of it and return it from your *path operations*.

Read more about it in the [FastAPI docs about returning a custom Response](https://fastapi.tiangolo.com/advanced/response-directly/#returning-a-custom-response)

You can import it directly from `fastapi`:

```python
from fastapi import Response
```

::: fastapi.Response",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,13,tutorial/handling-errors-4,tutorial/handling-errors.md,The resulting response { #the-resulting-response },"### The resulting response { #the-resulting-response }

If the client requests `http://example.com/items/foo` (an `item_id` `""foo""`), that client will receive an HTTP status code of 200, and a JSON response of:

```JSON
{
  ""item"": ""The Foo Wrestlers""
}
```

But if the client requests `http://example.com/items/bar` (a non-existent `item_id` `""bar""`), that client will receive an HTTP status code of 404 (the ""not found"" error), and a JSON response of:

```JSON
{
  ""detail"": ""Item not found""
}
```

/// tip

When raising an `HTTPException`, you can pass any value that can be converted to JSON as the parameter `detail`, not only `str`.

You could pass a `dict`, a `list`, etc.

They are handled automatically by **FastAPI** and converted to JSON.

///",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,14,tutorial/response-status-code-3,tutorial/response-status-code.md,Shortcut to remember the names { #shortcut-to-remember-the-names },"## Shortcut to remember the names { #shortcut-to-remember-the-names }

Let's see the previous example again:

{* ../../docs_src/response_status_code/tutorial001_py310.py hl[6] *}

`201` is the status code for ""Created"".

But you don't have to memorize what each of these codes mean.

You can use the convenience variables from `fastapi.status`.

{* ../../docs_src/response_status_code/tutorial002_py310.py hl[1,6] *}

They are just a convenience, they hold the same number, but that way you can use the editor's autocomplete to find them:

<img src=""/img/tutorial/response-status-code/image02.png"">

/// note | Technical Details

You could also use `from starlette import status`.

**FastAPI** provides the same `starlette.status` as `fastapi.status` just as a convenience for you, the developer. But it comes directly from Starlette.

///",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,15,advanced/custom-response-0,advanced/custom-response.md,"Custom Response - HTML, Stream, File, others { #custom-response-html-stream-file-others }","# Custom Response - HTML, Stream, File, others { #custom-response-html-stream-file-others }

By default, **FastAPI** will return JSON responses.

You can override it by returning a `Response` directly as seen in [Return a Response directly](response-directly.md).

But if you return a `Response` directly (or any subclass, like `JSONResponse`), the data won't be automatically converted (even if you declare a `response_model`), and the documentation won't be automatically generated (for example, including the specific ""media type"", in the HTTP header `Content-Type` as part of the generated OpenAPI).

But you can also declare the `Response` that you want to be used (e.g. any `Response` subclass), in the *path operation decorator* using the `response_class` parameter.

The contents that you return from your *path operation function* will be put inside of that `Response`.

/// note

If you use a response class with no media type, FastAPI will expect your response to have no content, so it will not document the response format in its generated OpenAPI docs.

///",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,16,tutorial/response-status-code-0,tutorial/response-status-code.md,Response Status Code { #response-status-code },"# Response Status Code { #response-status-code }

The same way you can specify a response model, you can also declare the HTTP status code used for the response with the parameter `status_code` in any of the *path operations*:

* `@app.get()`
* `@app.post()`
* `@app.put()`
* `@app.delete()`
* etc.

{* ../../docs_src/response_status_code/tutorial001_py310.py hl[6] *}

/// note

Notice that `status_code` is a parameter of the ""decorator"" method (`get`, `post`, etc). Not of your *path operation function*, like all the parameters and body.

///

The `status_code` parameter receives a number with the HTTP status code.

/// note

`status_code` can alternatively also receive an `IntEnum`, such as Python's [`http.HTTPStatus`](https://docs.python.org/3/library/http.html#http.HTTPStatus).

///

It will:

* Return that status code in the response.
* Document it as such in the OpenAPI schema (and so, in the user interfaces):

<img src=""/img/tutorial/response-status-code/image01.png"">

/// note

Some response codes (see the next section) indicate that the response does not have a body.

FastAPI knows this, and will produce OpenAPI docs that state there is no response body.

///",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,17,advanced/response-change-status-code-0,advanced/response-change-status-code.md,Response - Change Status Code { #response-change-status-code },"# Response - Change Status Code { #response-change-status-code }

You probably read before that you can set a default [Response Status Code](../tutorial/response-status-code.md).

But in some cases you need to return a different status code than the default.",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,18,advanced/response-cookies-1,advanced/response-cookies.md,Use a `Response` parameter { #use-a-response-parameter },"## Use a `Response` parameter { #use-a-response-parameter }

You can declare a parameter of type `Response` in your *path operation function*.

And then you can set cookies in that *temporary* response object.

{* ../../docs_src/response_cookies/tutorial002_py310.py hl[1, 8:9] *}

And then you can return any object you need, as you normally would (a `dict`, a database model, etc).

And if you declared a `response_model`, it will still be used to filter and convert the object you returned.

**FastAPI** will use that *temporary* response to extract the cookies (also headers and status code), and will put them in the final response that contains the value you returned, filtered by any `response_model`.

You can also declare the `Response` parameter in dependencies, and set cookies (and headers) in them.",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,19,reference/status-0,reference/status.md,Status Codes,"# Status Codes

You can import the `status` module from `fastapi`:

```python
from fastapi import status
```

`status` is provided directly by Starlette.

It contains a group of named constants (variables) with integer status codes.

For example:

* 200: `status.HTTP_200_OK`
* 403: `status.HTTP_403_FORBIDDEN`
* etc.

It can be convenient to quickly access HTTP (and WebSocket) status codes in your app, using autocompletion for the name without having to memorize the integer status codes.

Read more about it in the [FastAPI docs about Response Status Code](https://fastapi.tiangolo.com/tutorial/response-status-code/).",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,20,tutorial/path-operation-configuration-6,tutorial/path-operation-configuration.md,Response description { #response-description },"## Response description { #response-description }

You can specify the response description with the parameter `response_description`:

{* ../../docs_src/path_operation_configuration/tutorial005_py310.py hl[18] *}

/// note

Notice that `response_description` refers specifically to the response, the `description` refers to the *path operation* in general.

///

/// tip

OpenAPI specifies that each *path operation* requires a response description.

So, if you don't provide one, **FastAPI** will automatically generate one of ""Successful response"".

///

<img src=""/img/tutorial/path-operation-configuration/image03.png"">",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,21,reference/responses-0,reference/responses.md,"Custom Response Classes - File, HTML, Redirect, Streaming, etc.","# Custom Response Classes - File, HTML, Redirect, Streaming, etc.

There are several custom response classes you can use to create an instance and return them directly from your *path operations*.

Read more about it in the [FastAPI docs for Custom Response - HTML, Stream, File, others](https://fastapi.tiangolo.com/advanced/custom-response/).

You can import them directly from `fastapi.responses`:

```python
from fastapi.responses import (
    FileResponse,
    HTMLResponse,
    JSONResponse,
    ORJSONResponse,
    PlainTextResponse,
    RedirectResponse,
    Response,
    StreamingResponse,
    UJSONResponse,
)
```",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,22,advanced/additional-status-codes-2,advanced/additional-status-codes.md,OpenAPI and API docs { #openapi-and-api-docs },"## OpenAPI and API docs { #openapi-and-api-docs }

If you return additional status codes and responses directly, they won't be included in the OpenAPI schema (the API docs), because FastAPI doesn't have a way to know beforehand what you are going to return.

But you can document that in your code, using: [Additional Responses](additional-responses.md).",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,23,reference/status-1,reference/status.md,Example,"## Example

```python
from fastapi import FastAPI, status

app = FastAPI()


@app.get(""/items/"", status_code=status.HTTP_418_IM_A_TEAPOT)
def read_items():
    return [{""name"": ""Plumbus""}, {""name"": ""Portal Gun""}]
```

::: fastapi.status",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,24,tutorial/response-status-code-4,tutorial/response-status-code.md,Changing the default { #changing-the-default },"## Changing the default { #changing-the-default }

Later, in the [Advanced User Guide](../advanced/response-change-status-code.md), you will see how to return a different status code than the default you are declaring here.",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,25,advanced/custom-response-4,advanced/custom-response.md,Return a `Response` { #return-a-response },"### Return a `Response` { #return-a-response }

As seen in [Return a Response directly](response-directly.md), you can also override the response directly in your *path operation*, by returning it.

The same example from above, returning an `HTMLResponse`, could look like:

{* ../../docs_src/custom_response/tutorial003_py310.py hl[2,7,19] *}

/// warning

A `Response` returned directly by your *path operation function* won't be documented in OpenAPI (for example, the `Content-Type` won't be documented) and won't be visible in the automatic interactive docs.

///

/// note

Of course, the actual `Content-Type` header, status code, etc, will come from the `Response` object you returned.

///",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,26,advanced/response-change-status-code-1,advanced/response-change-status-code.md,Use case { #use-case },"## Use case { #use-case }

For example, imagine that you want to return an HTTP status code of ""OK"" `200` by default.

But if the data didn't exist, you want to create it, and return an HTTP status code of ""CREATED"" `201`.

But you still want to be able to filter and convert the data you return with a `response_model`.

For those cases, you can use a `Response` parameter.",1,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,27,advanced/response-directly-2,advanced/response-directly.md,Using the `jsonable_encoder` in a `Response` { #using-the-jsonable-encoder-in-a-response },"## Using the `jsonable_encoder` in a `Response` { #using-the-jsonable-encoder-in-a-response }

Because **FastAPI** doesn't make any changes to a `Response` you return, you have to make sure its contents are ready for it.

For example, you cannot put a Pydantic model in a `JSONResponse` without first converting it to a `dict` with all the data types (like `datetime`, `UUID`, etc) converted to JSON-compatible types.

For those cases, you can use the `jsonable_encoder` to convert your data before passing it to a response:

{* ../../docs_src/response_directly/tutorial001_py310.py hl[5:6,20:21] *}

/// note | Technical Details

You could also use `from starlette.responses import JSONResponse`.

**FastAPI** provides the same `starlette.responses` as `fastapi.responses` just as a convenience for you, the developer. But most of the available responses come directly from Starlette.

///",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,28,advanced/additional-responses-0,advanced/additional-responses.md,Additional Responses in OpenAPI { #additional-responses-in-openapi },"# Additional Responses in OpenAPI { #additional-responses-in-openapi }

/// warning

This is a rather advanced topic.

If you are starting with **FastAPI**, you might not need this.

///

You can declare additional responses, with additional status codes, media types, descriptions, etc.

Those additional responses will be included in the OpenAPI schema, so they will also appear in the API docs.

But for those additional responses you have to make sure you return a `Response` like `JSONResponse` directly, with your status code and content.",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,29,tutorial/response-status-code-2,tutorial/response-status-code.md,About HTTP status codes { #about-http-status-codes },"/// tip

To know more about each status code and which code is for what, check the [<abbr title=""Mozilla Developer Network"">MDN</abbr> documentation about HTTP status codes](https://developer.mozilla.org/en-US/docs/Web/HTTP/Status).

///",0,
q04,tutorial,How can I customize the response status code of a FastAPI endpoint?,30,advanced/response-headers-1,advanced/response-headers.md,Use a `Response` parameter { #use-a-response-parameter },"## Use a `Response` parameter { #use-a-response-parameter }

You can declare a parameter of type `Response` in your *path operation function* (as you can do for cookies).

And then you can set headers in that *temporary* response object.

{* ../../docs_src/response_headers/tutorial002_py310.py hl[1, 7:8] *}

And then you can return any object you need, as you normally would (a `dict`, a database model, etc).

And if you declared a `response_model`, it will still be used to filter and convert the object you returned.

**FastAPI** will use that *temporary* response to extract the headers (also cookies and status code), and will put them in the final response that contains the value you returned, filtered by any `response_model`.

You can also declare the `Response` parameter in dependencies, and set headers (and cookies) in them.",0,
q05,tutorial,How should I handle errors and raise HTTP exceptions in FastAPI?,1,benchmarks-3,benchmarks.md,Benchmarks and speed { #benchmarks-and-speed },"your final application would still have the same overhead as if it was built using FastAPI. And in many cases, this data validation and serialization is the biggest amount of code written in applications. * So, by using FastAPI you are saving development time, bugs, lines of code, and you would probably get the same performance (or better) you would if you didn't use it (as you would have to implement it all in your code). * If you are comparing FastAPI, compare it against a web application framework (or set of tools) that provides data validation, serialization and documentation, like Flask-apispec, NestJS, Molten, etc. Frameworks with integrated automatic data validation, serialization and documentation.",0,
q05,tutorial,How should I handle errors and raise HTTP exceptions in FastAPI?,2,tutorial/dependencies/dependencies-with-yield-8,tutorial/dependencies/dependencies-with-yield.md,Execution of dependencies with `yield` { #execution-of-dependencies-with-yield },"## Execution of dependencies with `yield` { #execution-of-dependencies-with-yield }

The sequence of execution is more or less like this diagram. Time flows from top to bottom. And each column is one of the parts interacting or executing code.

```mermaid
sequenceDiagram
participant client as Client
participant handler as Exception handler
participant dep as Dep with yield
participant operation as Path Operation
participant tasks as Background tasks
    Note over client,operation: Can raise exceptions, including HTTPException
    client ->> dep: Start request
    Note over dep: Run code up to yield
    opt raise Exception
        dep -->> handler: Raise Exception
        handler -->> client: HTTP error response
    end
    dep ->> operation: Run dependency, e.g. DB session
    opt raise
        operation -->> dep: Raise Exception (e.g. HTTPException)
        opt handle
            dep -->> dep: Can catch exception, raise a new HTTPException, raise other exception
        end
        handler -->> client: HTTP error response
    end
    operation ->> client: Return response to client
    Note over client,operation: Response is already sent, can't change it anymore
    opt Tasks
        operation -->> tasks: Send background tasks
    end
    opt Raise other exception
        tasks -->> tasks: Handle exceptions in the background task code
    end
```

/// note

Only **one response** will be sent to the client. It might be one of the error responses or it will be the response from the *path operation*.

After one of those responses is sent, no other response can be sent.

///

/// tip",1,
q05,tutorial,How should I handle errors and raise HTTP exceptions in FastAPI?,3,deployment/concepts-14,deployment/concepts.md,Small Errors Automatically Handled { #small-errors-automatically-handled },"### Small Errors Automatically Handled { #small-errors-automatically-handled }

When building web APIs with FastAPI, if there's an error in our code, FastAPI will normally contain it to the single request that triggered the error. 🛡

The client will get a **500 Internal Server Error** for that request, but the application will continue working for the next requests instead of just crashing completely.",0,
q05,tutorial,How should I handle errors and raise HTTP exceptions in FastAPI?,4,tutorial/dependencies/dependencies-with-yield-5,tutorial/dependencies/dependencies-with-yield.md,Dependencies with `yield` and `HTTPException` { #dependencies-with-yield-and-httpexception },"## Dependencies with `yield` and `HTTPException` { #dependencies-with-yield-and-httpexception }

You saw that you can use dependencies with `yield` and have `try` blocks that try to execute some code and then run some exit code after `finally`.

You can also use `except` to catch the exception that was raised and do something with it.

For example, you can raise a different exception, like `HTTPException`.

/// tip

This is a somewhat advanced technique, and in most of the cases you won't really need it, as you can raise exceptions (including `HTTPException`) from inside of the rest of your application code, for example, in the *path operation function*.

But it's there for you if you need it. 🤓

///

{* ../../docs_src/dependencies/tutorial008b_an_py310.py hl[18:22,31] *}

If you want to catch exceptions and create a custom response based on that, create a [Custom Exception Handler](../handling-errors.md#install-custom-exception-handlers).",1,
q05,tutorial,How should I handle errors and raise HTTP exceptions in FastAPI?,5,tutorial/handling-errors-3,tutorial/handling-errors.md,Raise an `HTTPException` in your code { #raise-an-httpexception-in-your-code },"### Raise an `HTTPException` in your code { #raise-an-httpexception-in-your-code }

`HTTPException` is a normal Python exception with additional data relevant for APIs.

Because it's a Python exception, you don't `return` it, you `raise` it.

This also means that if you are inside a utility function that you are calling inside of your *path operation function*, and you raise the `HTTPException` from inside of that utility function, it won't run the rest of the code in the *path operation function*, it will terminate that request right away and send the HTTP error from the `HTTPException` to the client.

The benefit of raising an exception over returning a value will be more evident in the section about Dependencies and Security.

In this example, when the client requests an item by an ID that doesn't exist, raise an exception with a status code of `404`:

{* ../../docs_src/handling_errors/tutorial001_py310.py hl[11] *}",1,
q05,tutorial,How should I handle errors and raise HTTP exceptions in FastAPI?,6,reference/exceptions-0,reference/exceptions.md,Exceptions - `HTTPException` and `WebSocketException`,"# Exceptions - `HTTPException` and `WebSocketException`

These are the exceptions that you can raise to show errors to the client.

When you raise an exception, as would happen with normal Python, the rest of the execution is aborted. This way you can raise these exceptions from anywhere in the code to abort a request and show the error to the client.

You can use:

* `HTTPException`
* `WebSocketException`

These exceptions can be imported directly from `fastapi`:

```python
from fastapi import HTTPException, WebSocketException
```

::: fastapi.HTTPException

::: fastapi.WebSocketException",1,
