query_id,category,question,candidate_order,chunk_id,source_path,section_title,content,relevance,annotation_notes
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,1,advanced/openapi-webhooks-3,advanced/openapi-webhooks.md,An app with webhooks { #an-app-with-webhooks },"## An app with webhooks { #an-app-with-webhooks }

When you create a **FastAPI** application, there is a `webhooks` attribute that you can use to define *webhooks*, the same way you would define *path operations*, for example with `@app.webhooks.post()`.

{* ../../docs_src/openapi_webhooks/tutorial001_py310.py hl[9:12,15:20] *}

The webhooks that you define will end up in the **OpenAPI** schema and the automatic **docs UI**.

/// note

The `app.webhooks` object is actually just an `APIRouter`, the same type you would use when structuring your app with multiple files.

///

Notice that with webhooks you are actually not declaring a *path* (like `/items/`), the text you pass there is just an **identifier** of the webhook (the name of the event), for example in `@app.webhooks.post(""new-subscription"")`, the webhook name is `new-subscription`.

This is because it is expected that **your users** would define the actual **URL path** where they want to receive the webhook request in some other way (e.g. a web dashboard).",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,2,tutorial/dependencies/index-3,tutorial/dependencies/index.md,"Create a dependency, or ""dependable"" { #create-a-dependency-or-dependable }","### Create a dependency, or ""dependable"" { #create-a-dependency-or-dependable }

Let's first focus on the dependency.

It is just a function that can take all the same parameters that a *path operation function* can take:

{* ../../docs_src/dependencies/tutorial001_an_py310.py hl[8:9] *}

That's it.

**2 lines**.

And it has the same shape and structure that all your *path operation functions* have.

You can think of it as a *path operation function* without the ""decorator"" (without the `@app.get(""/some-path"")`).

And it can return anything you want.

In this case, this dependency expects:

* An optional query parameter `q` that is a `str`.
* An optional query parameter `skip` that is an `int`, and by default is `0`.
* An optional query parameter `limit` that is an `int`, and by default is `100`.

And then it just returns a `dict` containing those values.

/// note

FastAPI added support for `Annotated` (and started recommending it) in version 0.95.0.

If you have an older version, you would get errors when trying to use `Annotated`.

Make sure you [Upgrade the FastAPI version](../../deployment/versions.md#upgrading-the-fastapi-versions) to at least 0.95.1 before using `Annotated`.

///",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,3,advanced/sub-applications-6,advanced/sub-applications.md,Technical Details: `root_path` { #technical-details-root-path },"### Technical Details: `root_path` { #technical-details-root-path }

When you mount a sub-application as described above, FastAPI will take care of communicating the mount path for the sub-application using a mechanism from the ASGI specification called a `root_path`.

That way, the sub-application will know to use that path prefix for the docs UI.

And the sub-application could also have its own mounted sub-applications and everything would work correctly, because FastAPI handles all these `root_path`s automatically.

You will learn more about the `root_path` and how to use it explicitly in the section about [Behind a Proxy](behind-a-proxy.md).",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,4,tutorial/dependencies/index-10,tutorial/dependencies/index.md,Simple usage { #simple-usage },"## Simple usage { #simple-usage }

If you look at it, *path operation functions* are declared to be used whenever a *path* and *operation* matches, and then **FastAPI** takes care of calling the function with the correct parameters, extracting the data from the request.

Actually, all (or most) of the web frameworks work in this same way.

You never call those functions directly. They are called by your framework (in this case, **FastAPI**).

With the Dependency Injection system, you can also tell **FastAPI** that your *path operation function* also ""depends"" on something else that should be executed before your *path operation function*, and **FastAPI** will take care of executing it and ""injecting"" the results.

Other common terms for this same idea of ""dependency injection"" are:

* resources
* providers
* services
* injectables
* components",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,5,tutorial/first-steps-18,tutorial/first-steps.md,`fastapi dev` with path or with `--entrypoint` CLI option { #fastapi-dev-with-path-or-with-entrypoint-cli-option },"### `fastapi dev` with path or with `--entrypoint` CLI option { #fastapi-dev-with-path-or-with-entrypoint-cli-option }

You can also pass the file path to the `fastapi dev` command, and it will guess the FastAPI app object to use:

```console
$ uv run fastapi dev main.py
```

Or, you can also pass the `--entrypoint` option to the `fastapi dev` command:

```console
$ uv run fastapi dev --entrypoint main:app
```

But you would have to remember to pass the correct path\entrypoint every time you call the `fastapi` command.

Additionally, other tools might not be able to find it, for example the [VS Code Extension](../editor-support.md) or [FastAPI Cloud](https://fastapicloud.com), so it is recommended to use the `entrypoint` in `pyproject.toml`.",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,6,deployment/https-21,deployment/https.md,Recap { #recap },"## Recap { #recap }

Having **HTTPS** is very important, and quite **critical** in most cases. Most of the effort you as a developer have to put around HTTPS is just about **understanding these concepts** and how they work.

But once you know the basic information of **HTTPS for developers** you can easily combine and configure different tools to help you manage everything in a simple way.

In some of the next chapters, I'll show you several concrete examples of how to set up **HTTPS** for **FastAPI** applications. 🔒",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,7,advanced/security/http-basic-auth-1,advanced/security/http-basic-auth.md,Simple HTTP Basic Auth { #simple-http-basic-auth },"## Simple HTTP Basic Auth { #simple-http-basic-auth }

* Import `HTTPBasic` and `HTTPBasicCredentials`.
* Create a ""`security` scheme"" using `HTTPBasic`.
* Use that `security` with a dependency in your *path operation*.
* It returns an object of type `HTTPBasicCredentials`:
    * It contains the `username` and `password` sent.

{* ../../docs_src/security/tutorial006_an_py310.py hl[4,8,12] *}

When you try to open the URL for the first time (or click the ""Execute"" button in the docs) the browser will ask you for your username and password:

<img src=""/img/tutorial/security/image12.png"">",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,8,advanced/sub-applications-2,advanced/sub-applications.md,Top-level application { #top-level-application },"### Top-level application { #top-level-application }

First, create the main, top-level, **FastAPI** application, and its *path operations*:

{* ../../docs_src/sub_applications/tutorial001_py310.py hl[3, 6:8] *}",0,"Menciona criar app FastAPI e path operations, mas no contexto de sub-aplicacoes e sem mostrar o codigo real (apenas referencia a bloco externo)."
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,9,how-to/general-6,how-to/general.md,Documentation Deprecate a *Path Operation* - OpenAPI { #documentation-deprecate-a-path-operation-openapi },"## Documentation Deprecate a *Path Operation* - OpenAPI { #documentation-deprecate-a-path-operation-openapi }

To deprecate a *path operation*, and show it in the docs UI, read the docs for [Tutorial - Path Operation Configurations - Deprecation](../tutorial/path-operation-configuration.md#deprecate-a-path-operation).",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,10,tutorial/first-steps-22,tutorial/first-steps.md,"Step 2: create a `FastAPI` ""instance"" { #step-2-create-a-fastapi-instance }","### Step 2: create a `FastAPI` ""instance"" { #step-2-create-a-fastapi-instance }

{* ../../docs_src/first_steps/tutorial001_py310.py hl[3] *}

Here the `app` variable will be an ""instance"" of the class `FastAPI`.

This will be the main point of interaction to create all your API.",1,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,11,tutorial/sql-databases-3,tutorial/sql-databases.md,Create the App with a Single Model { #create-the-app-with-a-single-model },"## Create the App with a Single Model { #create-the-app-with-a-single-model }

We'll create the simplest first version of the app with a single **SQLModel** model first.

Later we'll improve it increasing security and versatility with **multiple models** below. 🤓",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,12,tutorial/bigger-applications-4,tutorial/bigger-applications.md,`APIRouter` { #apirouter },"## `APIRouter` { #apirouter }

Let's say the file dedicated to handling just users is the submodule at `/app/routers/users.py`.

You want to have the *path operations* related to your users separated from the rest of the code, to keep it organized.

But it's still part of the same **FastAPI** application/web API (it's part of the same ""Python Package"").

You can create the *path operations* for that module using `APIRouter`.",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,13,tutorial/testing-7,tutorial/testing.md,Extended **FastAPI** app file { #extended-fastapi-app-file },"### Extended **FastAPI** app file { #extended-fastapi-app-file }

Let's continue with the same file structure as before:

```
.
├── app
│   ├── __init__.py
│   ├── main.py
│   └── test_main.py
```

Let's say that now the file `main.py` with your **FastAPI** app has some other **path operations**.

It has a `GET` operation that could return an error.

It has a `POST` operation that could return several errors.

Both *path operations* require an `X-Token` header.

{* ../../docs_src/app_testing/app_b_an_py310/main.py *}",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,14,how-to/custom-docs-ui-assets-5,how-to/custom-docs-ui-assets.md,Create a *path operation* to test it { #create-a-path-operation-to-test-it },"### Create a *path operation* to test it { #create-a-path-operation-to-test-it }

Now, to be able to test that everything works, create a *path operation*:

{* ../../docs_src/custom_docs_ui/tutorial001_py310.py hl[36:38] *}",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,15,tutorial/first-steps-28,tutorial/first-steps.md,Step 4: define the **path operation function** { #step-4-define-the-path-operation-function },"### Step 4: define the **path operation function** { #step-4-define-the-path-operation-function }

This is our ""**path operation function**"":

* **path**: is `/`.
* **operation**: is `get`.
* **function**: is the function below the ""decorator"" (below `@app.get(""/"")`).

{* ../../docs_src/first_steps/tutorial001_py310.py hl[7] *}

This is a Python function.

It will be called by **FastAPI** whenever it receives a request to the URL ""`/`"" using a `GET` operation.

In this case, it is an `async` function.

---

You could also define it as a normal function instead of `async def`:

{* ../../docs_src/first_steps/tutorial003_py310.py hl[7] *}

/// note

If you don't know the difference, check the [Async: *""In a hurry?""*](../async.md#in-a-hurry).

///",1,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,16,advanced/sub-applications-3,advanced/sub-applications.md,Sub-application { #sub-application },"### Sub-application { #sub-application }

Then, create your sub-application, and its *path operations*.

This sub-application is just another standard FastAPI application, but this is the one that will be ""mounted"":

{* ../../docs_src/sub_applications/tutorial001_py310.py hl[11, 14:16] *}",0,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,17,tutorial/first-steps-33,tutorial/first-steps.md,Recap { #recap },"## Recap { #recap }

* Import `FastAPI`.
* Create an `app` instance.
* Write a **path operation decorator** using decorators like `@app.get(""/"")`.
* Define a **path operation function**; for example, `def root(): ...`.
* Run the development server using the command `fastapi dev`.
* Optionally deploy your app with `fastapi deploy`.",1,
q01,tutorial,How do I create a basic FastAPI application and define my first path operation?,18,tutorial/first-steps-23,tutorial/first-steps.md,Step 3: create a *path operation* { #step-3-create-a-path-operation },### Step 3: create a *path operation* { #step-3-create-a-path-operation },1,"Apenas o cabecalho da secao 'Step 3: create a path operation', sem corpo, mas e diretamente o passo pedido na pergunta."
