annotator,task_type,filename,sha256
carlos,quality,carlos_quality.csv,7b6645d5d4bc77cd55e34286fb6dd2f02ee6fb7c4d3dba43b201d90799b93852
carlos,groundedness,carlos_groundedness.csv,6eaa9570c951df0b18359208da05d80923fb199c33a3f07114f412fee4e86068
yann,quality,yann_quality.csv,1eeb7a2b51f72bb68d789f1e076e7cc88a7e0dfacfd6f59e9d37eed2b578980b
yann,groundedness,yann_groundedness.csv,46422837019d4cbf76d07683a1c9a90462821c7b3bdbb7439539f42cb11aff36
wilson,quality,wilson_quality.csv,84396a40e35980f885829840627db6148d4e7a0887a78584fa5682b50512699b
wilson,groundedness,wilson_groundedness.csv,2f287d65ae126614a0aca98469117035aaf96b67757ebc3de804681bc227e1a2
matheus,quality,matheus_quality.csv,85482d6e9f9fb794a7acbf1c4ba553cdd6394f717a503c2b89186e6ed2ecca11
matheus,groundedness,matheus_groundedness.csv,35fbd00cd1698e683ebac0a453e91b2c3722f42a796ca81d0e2ed143ec0f66fe
gabriela,quality,gabriela_quality.csv,99d16739f8f32a09edf07a540b269d6f95cc7335abf30b939743a94978025cf8
gabriela,groundedness,gabriela_groundedness.csv,960ec591b50d7a65c38d05187088a05ebb8f69f70f8cdb729a6958eed30f0b35
