task_type,metric,condition,n,mean,median,minimum,maximum,score_0_count,score_1_count,score_2_count,max_score_rate
quality,correctness,no_rag,30,1.9333333333333333,2.0,1,2,0,2,28,0.9333333333333333
quality,correctness,optimized,30,1.8666666666666667,2.0,0,2,2,0,28,0.9333333333333333
quality,correctness,semantic,30,1.9333333333333333,2.0,1,2,0,2,28,0.9333333333333333
quality,completeness,no_rag,30,1.8,2.0,1,2,0,6,24,0.8
quality,completeness,optimized,30,1.8666666666666667,2.0,0,2,2,0,28,0.9333333333333333
quality,completeness,semantic,30,1.9,2.0,1,2,0,3,27,0.9
quality,clarity,no_rag,30,1.8,2.0,1,2,0,6,24,0.8
quality,clarity,optimized,30,1.9333333333333333,2.0,1,2,0,2,28,0.9333333333333333
quality,clarity,semantic,30,1.9,2.0,1,2,0,3,27,0.9
quality,hallucination_present,no_rag,30,0.0,0.0,0,0,30,0,0,0.0
quality,hallucination_present,optimized,30,0.0,0.0,0,0,30,0,0,0.0
quality,hallucination_present,semantic,30,0.0,0.0,0,0,30,0,0,0.0
