annotator,task_type,metric,score,count
carlos,groundedness,groundedness,0,1
carlos,groundedness,groundedness,2,23
carlos,quality,clarity,1,3
carlos,quality,clarity,2,33
carlos,quality,completeness,0,1
carlos,quality,completeness,1,2
carlos,quality,completeness,2,33
carlos,quality,correctness,0,1
carlos,quality,correctness,1,1
carlos,quality,correctness,2,34
carlos,quality,hallucination_present,0,36
gabriela,groundedness,groundedness,0,1
gabriela,groundedness,groundedness,2,23
gabriela,quality,clarity,1,5
gabriela,quality,clarity,2,31
gabriela,quality,completeness,0,2
gabriela,quality,completeness,1,3
gabriela,quality,completeness,2,31
gabriela,quality,correctness,0,2
gabriela,quality,correctness,1,2
gabriela,quality,correctness,2,32
gabriela,quality,hallucination_present,0,36
matheus,groundedness,groundedness,2,24
matheus,quality,clarity,1,4
matheus,quality,clarity,2,32
matheus,quality,completeness,0,1
matheus,quality,completeness,1,3
matheus,quality,completeness,2,32
matheus,quality,correctness,0,1
matheus,quality,correctness,2,35
matheus,quality,hallucination_present,0,36
wilson,groundedness,groundedness,0,2
wilson,groundedness,groundedness,2,22
wilson,quality,clarity,1,6
wilson,quality,clarity,2,30
wilson,quality,completeness,1,6
wilson,quality,completeness,2,30
wilson,quality,correctness,1,3
wilson,quality,correctness,2,33
wilson,quality,hallucination_present,0,36
yann,groundedness,groundedness,2,24
yann,quality,clarity,1,4
yann,quality,clarity,2,32
yann,quality,completeness,1,4
yann,quality,completeness,2,32
yann,quality,correctness,1,2
yann,quality,correctness,2,34
yann,quality,hallucination_present,0,36
