task_type,blind_id,run_id,query_id,condition,annotator_1,annotator_2,citation_valid,citation_retry_count,valid_citations,generation_outcome
groundedness,G-0429D54D7A0E,semantic|q13,q13,semantic,carlos,wilson,true,1,"[""reference/security/index-1""]",cited_answer
groundedness,G-05ADF7D05686,optimized|q16,q16,optimized,carlos,wilson,true,1,"[""reference/middleware-0""]",cited_answer
groundedness,G-06E51D5716F0,optimized|q11,q11,optimized,yann,gabriela,false,1,[],invalid_uncited_answer
groundedness,G-07A7D5AFCD05,optimized|q09,q09,optimized,matheus,gabriela,true,1,"[""tutorial/dependencies/dependencies-in-path-operation-decorators-0""]",cited_answer
groundedness,G-0E7374F00AEE,optimized|q28,q28,optimized,yann,wilson,true,0,"[""tutorial/handling-errors-6""]",cited_answer
groundedness,G-106ABF6FCA4B,semantic|q03,q03,semantic,carlos,yann,true,1,"[""tutorial/request-form-models-1"", ""tutorial/body-9"", ""tutorial/cookie-param-models-1"", ""tutorial/body-nested-models-0""]",cited_answer
groundedness,G-12125E246B1A,semantic|q29,q29,semantic,carlos,wilson,true,1,"[""tutorial/bigger-applications-20""]",cited_answer
groundedness,G-14E6D8BFB8A7,optimized|q21,q21,optimized,matheus,gabriela,true,1,"[""deployment/docker-36""]",cited_answer
groundedness,G-1506F10E9715,semantic|q12,q12,semantic,matheus,gabriela,true,1,"[""reference/security/index-6""]",cited_answer
groundedness,G-19F2B4A0F7D5,optimized|q20,q20,optimized,carlos,yann,true,1,"[""advanced/websockets-9""]",cited_answer
groundedness,G-26C8FF464A54,optimized|q10,q10,optimized,carlos,yann,true,1,"[""tutorial/security/simple-oauth2-0"", ""tutorial/security/simple-oauth2-17""]",cited_answer
groundedness,G-2B268F4BEF95,semantic|q05,q05,semantic,carlos,gabriela,true,1,"[""tutorial/handling-errors-9""]",cited_answer
groundedness,G-2E996D660ACC,optimized|q03,q03,optimized,yann,gabriela,true,1,"[""reference/request-0""]",cited_answer
groundedness,G-35A5A80FEDF7,optimized|q12,q12,optimized,wilson,matheus,true,1,"[""advanced/security/oauth2-scopes-0""]",cited_answer
groundedness,G-369928E824A1,semantic|q09,q09,semantic,yann,gabriela,true,1,"[""tutorial/dependencies/dependencies-in-path-operation-decorators-7""]",cited_answer
groundedness,G-377428C0EDBB,semantic|q11,q11,semantic,yann,gabriela,true,1,"[""tutorial/security/first-steps-7""]",cited_answer
groundedness,G-4037023452C7,optimized|q27,q27,optimized,carlos,gabriela,true,1,"[""advanced/events-0""]",cited_answer
groundedness,G-40FC2FFF068B,semantic|q04,q04,semantic,yann,matheus,true,1,"[""advanced/response-change-status-code-2""]",cited_answer
groundedness,G-455561E2715A,optimized|q29,q29,optimized,carlos,gabriela,true,1,"[""tutorial/bigger-applications-27""]",cited_answer
groundedness,G-4C0D3087832C,optimized|q14,q14,optimized,wilson,gabriela,true,1,"[""tutorial/cors-4""]",cited_answer
groundedness,G-530D1118C809,semantic|q18,q18,semantic,carlos,yann,true,0,"[""tutorial/background-tasks-4""]",cited_answer
