algorithm,corpus_fraction,corpus_chunks,sample_count,retrieval_time_ms_mean,retrieval_time_ms_median,retrieval_time_ms_std,retrieval_time_ms_min,retrieval_time_ms_max,total_time_ms_mean,total_time_ms_median,total_time_ms_std,total_time_ms_min,total_time_ms_max,sorting_time_ms_mean,sorting_time_ms_median,sorting_time_ms_std,sorting_time_ms_min,sorting_time_ms_max,peak_memory_mb_mean,peak_memory_mb_median,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,comparisons_mean,comparisons_median,comparisons_std,comparisons_min,comparisons_max,chunks_scored_mean,chunks_scored_median,chunks_scored_std,chunks_scored_min,chunks_scored_max,candidates_found_mean,candidates_found_median,candidates_found_std,candidates_found_min,candidates_found_max
indexed,0.25,326,150,3.8490919999999997,3.7302999999999997,0.7700637103007436,2.3634,6.532,3.9007499999999995,3.7908999999999997,0.7773797051677587,2.3971999999999998,6.5950999999999995,1.0908233333333333,1.04515,0.24396372224994683,0.6228,2.3476999999999997,0.0816721534729004,0.0829172134399414,0.005999983301424903,0.055274009704589844,0.08789825439453125,2266.9,2323.0,212.65931256701765,1485.0,2538.0,292.3,298.0,22.278213392153077,205.0,317.0,292.3,298.0,22.278213392153077,205.0,317.0
linear,0.25,326,150,4.402346,4.42185,0.6917706993558258,2.3801,6.723599999999999,4.456114666666666,4.479,0.6986372861763063,2.407,6.7894,1.3461606666666666,1.36245,0.2763200150629425,0.6093,2.1143,0.06610249201456705,0.0670938491821289,0.004910460002279936,0.047255516052246094,0.0720672607421875,2020.9333333333334,2070.0,182.9770465183344,1315.0,2226.0,326.0,326.0,0.0,326.0,326.0,292.3,298.0,22.278213392153077,205.0,317.0
optimized,0.25,326,150,2.8060766666666668,2.6350499999999997,0.6382482507505444,1.6115,5.880599999999999,2.8519466666666666,2.68355,0.6482179867486855,1.6458,5.9958,0.32944999999999997,0.29255,0.11285856371000191,0.20049999999999998,0.8713,0.04642340977986654,0.04709434509277344,0.003147902507540521,0.031256675720214844,0.0490875244140625,684.8333333333334,694.5,61.335847020758706,532.0,801.0,292.3,298.0,22.278213392153077,205.0,317.0,292.3,298.0,22.278213392153077,205.0,317.0
semantic,0.25,326,150,20.01916333333333,19.19865,5.366609243298535,14.3377,70.7209,20.08639266666667,19.2684,5.375304071262989,14.386299999999999,70.8584,0.006554666666666666,0.0065,0.001655926378201148,0.0043,0.0149,0.03041942596435547,0.030432701110839844,0.0001496118191498216,0.029813766479492188,0.03091144561767578,,,,,,326.0,326.0,0.0,326.0,326.0,10.0,10.0,0.0,10.0,10.0
indexed,0.5,652,150,7.453049333333333,7.146699999999999,1.846631565551767,4.817699999999999,22.3976,7.538947333333332,7.234349999999999,1.8675975969105683,4.8605,22.5657,2.316367333333333,2.1754499999999997,0.71144208152785,1.4446999999999999,8.5581,0.16068902333577473,0.16457653045654297,0.01178461288107483,0.10851192474365234,0.17075729370117188,4891.16,5011.5,423.51415877696905,3229.0,5325.0,585.3333333333334,596.5,42.96817406061035,415.0,629.0,585.3333333333334,596.5,42.96817406061035,415.0,629.0
linear,0.5,652,150,9.067254,9.01445,1.5375403469854225,5.8370999999999995,13.843,9.1493,9.094850000000001,1.554029628301077,5.887099999999999,13.9916,2.9601006666666665,2.9596,0.6828955916243384,1.4689999999999999,5.4235999999999995,0.1297439956665039,0.13313865661621094,0.009587872479801597,0.0926809310913086,0.13927078247070312,4629.0,4735.0,394.4634449425867,3092.0,5048.0,652.0,652.0,0.0,652.0,652.0,585.3333333333334,596.5,42.96817406061035,415.0,629.0
optimized,0.5,652,150,5.591363333333333,5.46305,1.1428220161481144,3.0882,11.3867,5.662893333333333,5.53705,1.1573630031944648,3.1399,11.572899999999999,0.603798,0.592,0.13385488108621227,0.3489,1.3208,0.08663954416910807,0.08836650848388672,0.006131433654126339,0.056853294372558594,0.0909881591796875,1036.78,1046.5,86.42495833275704,768.0,1202.0,585.3333333333334,596.5,42.96817406061035,415.0,629.0,585.3333333333334,596.5,42.96817406061035,415.0,629.0
semantic,0.5,652,150,20.674547333333333,19.4737,6.390661444583662,15.415299999999998,84.4323,20.747766,19.5409,6.3968479456874405,15.4691,84.53609999999999,0.007298666666666667,0.006999999999999999,0.003050007958327535,0.0042,0.030699999999999998,0.03043003718058268,0.030436038970947266,0.00014191241674634867,0.02988910675048828,0.03089618682861328,,,,,,652.0,652.0,0.0,652.0,652.0,10.0,10.0,0.0,10.0,10.0
indexed,0.75,978,150,11.835999333333332,11.4941,2.1885420673904825,8.020999999999999,29.407899999999998,11.952407999999998,11.588049999999999,2.2156511794040665,8.1,29.674,3.821299333333333,3.67305,0.7611833483894169,2.5681,8.8169,0.25178610483805336,0.25977230072021484,0.023111833352878027,0.17223644256591797,0.268798828125,7754.2,7950.5,638.2976205102078,5345.0,8398.0,879.3333333333334,896.0,62.208964444609535,640.0,941.0,879.3333333333334,896.0,62.208964444609535,640.0,941.0
linear,0.75,978,150,14.433084666666668,14.123899999999999,2.571173506077315,9.4606,23.8694,14.554955999999999,14.263499999999999,2.596966930591901,9.527099999999999,24.092,4.929561333333333,4.78435,1.162355720874879,2.9762,10.3057,0.19323172251383464,0.1970510482788086,0.013442475998893606,0.14078044891357422,0.20606231689453125,7462.166666666667,7632.0,608.0254147004879,5133.0,8089.0,978.0,978.0,0.0,978.0,978.0,879.3333333333334,896.0,62.208964444609535,640.0,941.0
optimized,0.75,978,150,9.051368666666665,8.804549999999999,1.4807473567475948,6.5801,16.0658,9.166011333333332,8.88805,1.5091966364442329,6.651599999999999,16.2603,0.9974013333333333,0.93835,0.20594849847730362,0.7273999999999999,2.2298,0.13906907399495444,0.14476585388183594,0.015427868273964772,0.09093379974365234,0.14835643768310547,1377.5333333333333,1398.5,96.14856141044201,1060.0,1525.0,879.3333333333334,896.0,62.208964444609535,640.0,941.0,879.3333333333334,896.0,62.208964444609535,640.0,941.0
semantic,0.75,978,150,22.179770666666666,20.7693,6.214022657073572,14.569099999999999,68.87169999999999,22.25596133333333,20.846899999999998,6.222246780972855,14.636099999999999,68.9634,0.007636666666666667,0.0073999999999999995,0.0024928196661899104,0.0047,0.0252,0.03043249766031901,0.030452728271484375,0.00011400670507101415,0.029824256896972656,0.030676841735839844,,,,,,978.0,978.0,0.0,978.0,978.0,10.0,10.0,0.0,10.0,10.0
indexed,1.0,1305,150,15.299110666666666,15.13185,2.454744321249007,8.7767,34.494099999999996,15.443484666666667,15.247399999999999,2.474539926806724,8.888399999999999,34.6956,5.039506666666666,4.921049999999999,0.9547822893673119,3.0313999999999997,11.6648,0.31935059229532875,0.3252887725830078,0.021916565699594655,0.22220516204833984,0.33960723876953125,10807.133333333333,11074.5,862.9553844352134,7555.0,11676.0,1179.3666666666666,1203.5,81.58228988188162,864.0,1259.0,1179.3666666666666,1203.5,81.58228988188162,864.0,1259.0
linear,1.0,1305,150,18.855186666666665,18.57065,2.976089749036086,12.4283,30.3006,19.018368,18.72975,3.0043377243449423,12.5384,30.551,6.459568666666667,6.307499999999999,1.474787586030938,3.4111,12.0489,0.25767685572306315,0.2624635696411133,0.017549433658525574,0.1907491683959961,0.2768707275390625,10502.966666666667,10770.0,835.9517536627945,7318.0,11310.0,1305.0,1305.0,0.0,1305.0,1305.0,1179.3666666666666,1203.5,81.58228988188162,864.0,1259.0
optimized,1.0,1305,150,11.264329333333334,11.23535,1.61915083741496,7.0499,18.959,11.379425333333334,11.34985,1.634658449442507,7.1396999999999995,19.297,1.2169353333333333,1.1877499999999999,0.19118190892504372,0.8341999999999999,2.3697999999999997,0.16737666447957356,0.17035198211669922,0.011638384419315816,0.1106710433959961,0.1758880615234375,1678.2,1723.0,115.8961001943916,1282.0,1838.0,1179.3666666666666,1203.5,81.58228988188162,864.0,1259.0,1179.3666666666666,1203.5,81.58228988188162,864.0,1259.0
