algorithm,corpus_fraction,corpus_chunks,k,query_count,precision_mean,precision_median,precision_std,precision_min,precision_max,recall_mean,recall_median,recall_std,recall_min,recall_max,mrr_mean,mrr_median,mrr_std,mrr_min,mrr_max,hit_rate_mean,hit_rate_median,hit_rate_std,hit_rate_min,hit_rate_max
indexed,0.25,326,1,26,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0,0.32413003663003664,0.29166666666666663,0.28918557108358184,0.0,1.0,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0
indexed,0.25,326,3,26,0.5,0.3333333333333333,0.30184617127124724,0.0,1.0,0.5009157509157509,0.4642857142857143,0.3123860894779961,0.0,1.0,0.8653846153846154,1.0,0.3333974297349129,0.0,1.0,0.8846153846153846,1.0,0.3258125936084211,0.0,1.0
indexed,0.25,326,5,26,0.43846153846153846,0.4,0.2593482956595984,0.0,1.0,0.677930402930403,0.6666666666666666,0.2868687451744485,0.0,1.0,0.8730769230769231,1.0,0.3143980818105509,0.0,1.0,0.9230769230769231,1.0,0.271746488194703,0.0,1.0
indexed,0.25,326,10,26,0.2846153846153846,0.25,0.19119060163576596,0.0,0.7,0.8278388278388279,1.0,0.29290148269120647,0.0,1.0,0.8730769230769231,1.0,0.3143980818105509,0.0,1.0,0.9230769230769231,1.0,0.271746488194703,0.0,1.0
linear,0.25,326,1,26,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0,0.32413003663003664,0.29166666666666663,0.28918557108358184,0.0,1.0,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0
linear,0.25,326,3,26,0.5,0.3333333333333333,0.30184617127124724,0.0,1.0,0.5009157509157509,0.4642857142857143,0.3123860894779961,0.0,1.0,0.8653846153846154,1.0,0.3333974297349129,0.0,1.0,0.8846153846153846,1.0,0.3258125936084211,0.0,1.0
linear,0.25,326,5,26,0.43846153846153846,0.4,0.2593482956595984,0.0,1.0,0.677930402930403,0.6666666666666666,0.2868687451744485,0.0,1.0,0.8730769230769231,1.0,0.3143980818105509,0.0,1.0,0.9230769230769231,1.0,0.271746488194703,0.0,1.0
linear,0.25,326,10,26,0.2846153846153846,0.25,0.19119060163576596,0.0,0.7,0.8278388278388279,1.0,0.29290148269120647,0.0,1.0,0.8730769230769231,1.0,0.3143980818105509,0.0,1.0,0.9230769230769231,1.0,0.271746488194703,0.0,1.0
optimized,0.25,326,1,26,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0,0.32413003663003664,0.29166666666666663,0.28918557108358184,0.0,1.0,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0
optimized,0.25,326,3,26,0.5,0.3333333333333333,0.30184617127124724,0.0,1.0,0.5009157509157509,0.4642857142857143,0.3123860894779961,0.0,1.0,0.8653846153846154,1.0,0.3333974297349129,0.0,1.0,0.8846153846153846,1.0,0.3258125936084211,0.0,1.0
optimized,0.25,326,5,26,0.43846153846153846,0.4,0.2593482956595984,0.0,1.0,0.677930402930403,0.6666666666666666,0.2868687451744485,0.0,1.0,0.8730769230769231,1.0,0.3143980818105509,0.0,1.0,0.9230769230769231,1.0,0.271746488194703,0.0,1.0
