algorithm,scenario,item_count,sample_count,time_ms_mean,time_ms_median,time_ms_std,time_ms_min,time_ms_max,comparisons_mean,comparisons_median,comparisons_std,comparisons_min,comparisons_max
merge,already_sorted,100,5,0.21703999999999998,0.1943,0.06273263106231079,0.1822,0.3286,316.0,316.0,0.0,316.0,316.0
quick,already_sorted,100,5,0.22778,0.1777,0.07381474784892245,0.1714,0.3148,633.0,633.0,0.0,633.0,633.0
merge,many_ties,100,5,0.5202600000000001,0.5071,0.23233803605953116,0.2969,0.892,543.2,542.0,9.093954035511725,530.0,554.0
quick,many_ties,100,5,0.40884,0.3778,0.1621590669682087,0.2858,0.6869,680.8,682.0,16.23884232326923,655.0,700.0
merge,random,100,5,0.43086,0.412,0.058615168685247326,0.3718,0.4947,538.2,536.0,5.06951674225463,533.0,545.0
quick,random,100,5,0.47472000000000003,0.4403,0.23431397098764725,0.2129,0.8542,722.4,722.0,43.10800389718828,655.0,772.0
merge,reverse_sorted,100,5,0.33433999999999997,0.3195,0.12565509540006725,0.2233,0.5465,356.0,356.0,0.0,356.0,356.0
quick,reverse_sorted,100,5,0.41853999999999997,0.439,0.0498712642711211,0.3357,0.4633,833.0,833.0,0.0,833.0,833.0
merge,already_sorted,250,5,0.9414999999999999,1.0568,0.19164765847773882,0.6345,1.0861,983.0,983.0,0.0,983.0,983.0
quick,already_sorted,250,5,1.0648,1.1495,0.14323267783575086,0.8903,1.1782,1762.0,1762.0,0.0,1762.0,1762.0
merge,many_ties,250,5,1.33348,1.3219,0.13297427194762146,1.155,1.5149,1679.0,1676.0,5.5677643628300215,1674.0,1686.0
quick,many_ties,250,5,1.10446,1.1448,0.2960238892386896,0.7237,1.5347,2095.4,2127.0,59.47100133678598,2030.0,2152.0
merge,random,250,5,1.52132,1.584,0.4941003865612736,0.7786,2.1656,1672.0,1673.0,4.301162633521313,1667.0,1676.0
quick,random,250,5,1.0729,1.2372,0.39564137169916896,0.6339,1.4524,2155.2,2132.0,53.9786995026742,2107.0,2237.0
merge,reverse_sorted,250,5,0.8021800000000001,0.6734,0.26883499028214314,0.5742,1.1594,1011.0,1011.0,0.0,1011.0,1011.0
quick,reverse_sorted,250,5,1.28528,1.3519,0.3311936850243374,0.753,1.5926,2790.0,2790.0,0.0,2790.0,2790.0
merge,already_sorted,500,5,1.8429399999999998,2.0504,0.5208867852038482,1.1153,2.3413,2216.0,2216.0,0.0,2216.0,2216.0
quick,already_sorted,500,5,1.4060000000000001,1.5391,0.38887964076305154,0.953,1.8223,4019.0,4019.0,0.0,4019.0,4019.0
merge,many_ties,500,5,2.10664,2.0099,0.4920646278691448,1.7136,2.9301,3854.8,3854.0,12.153188881935474,3838.0,3867.0
quick,many_ties,500,5,2.17928,2.1984,0.42864341474003775,1.4828,2.546,4716.8,4713.0,78.48057084399935,4625.0,4811.0
merge,random,500,5,2.85016,2.7695,0.44868709364099163,2.2731,3.4734,3856.0,3857.0,8.860022573334675,3846.0,3866.0
quick,random,500,5,2.40924,2.7467,0.6331531197111802,1.6964,3.0865,4877.6,4839.0,90.0710830400079,4793.0,5005.0
merge,reverse_sorted,500,5,2.2858,2.2843,0.42631597436643165,1.6423,2.8191,2272.0,2272.0,0.0,2272.0,2272.0
quick,reverse_sorted,500,5,2.93706,3.2162,0.7014303550602868,2.1367,3.7555,6753.0,6753.0,0.0,6753.0,6753.0
merge,already_sorted,1000,5,4.7893799999999995,4.8562,0.463434905892942,4.1147,5.3758,4932.0,4932.0,0.0,4932.0,4932.0
quick,already_sorted,1000,5,4.38406,4.7387,0.950804148076774,2.8293,5.1245,9032.0,9032.0,0.0,9032.0,9032.0
merge,many_ties,1000,5,5.760260000000001,5.2888,1.8226752420549308,3.6894,8.2573,8707.8,8708.0,21.028552018624584,8684.0,8739.0
quick,many_ties,1000,5,4.6478,4.369,0.7162913757682695,3.9179,5.6896,10778.6,10664.0,403.4226071999436,10372.0,11322.0
merge,random,1000,5,6.547280000000001,6.648,1.4103171689375409,4.8597,8.3987,8716.2,8716.0,10.134100848126586,8705.0,8731.0
quick,random,1000,5,6.23442,6.3694,0.6876850747253426,5.1802,6.9832,10769.6,10721.0,210.07689068529172,10556.0,11029.0
merge,reverse_sorted,1000,5,5.44816,5.6842,1.2230251542793384,3.7905,7.0595,5044.0,5044.0,0.0,5044.0,5044.0
quick,reverse_sorted,1000,5,6.01238,6.2609,0.8715688423756325,5.1036,7.0227,15821.0,15821.0,0.0,15821.0,15821.0
merge,already_sorted,1305,5,6.0033,5.7038,2.0360533907537888,3.8158,8.2446,6504.0,6504.0,0.0,6504.0,6504.0
quick,already_sorted,1305,5,6.3022,6.7283,1.481154338683177,4.5667,8.299,12882.0,12882.0,0.0,12882.0,12882.0
merge,many_ties,1305,5,8.43848,8.3857,1.3274956127987767,7.0748,10.3171,11883.2,11876.0,27.21580423210014,11857.0,11929.0
quick,many_ties,1305,5,8.013259999999999,8.611,1.5847593217899052,5.4568,9.2398,14541.4,14555.0,226.69649313564602,14221.0,14853.0
merge,random,1305,5,6.8315399999999995,6.6279,1.2491932548649145,5.4984,8.7944,11881.2,11889.0,39.27085433244355,11823.0,11927.0
quick,random,1305,5,6.09448,6.2161,0.898545542529704,5.0051,7.2565,14921.2,14906.0,254.1627431391155,14593.0,15196.0
merge,reverse_sorted,1305,5,6.22872,5.7962,1.266133834553046,5.2015,8.2811,7108.0,7108.0,0.0,7108.0,7108.0
quick,reverse_sorted,1305,5,9.83842,10.4049,1.467810787192954,7.3609,11.0338,21809.0,21809.0,0.0,21809.0,21809.0
